,Accuracy,Balanced Accuracy,F1 Score,Specificity,Parity Score Gender,Parity Score Race,Intersectional Parity Score,AUC_Gender,KL Divergence_Gender,Model
335,1.0,1.0,1.0,1.0,0.6115348588251037,0.5450134237346841,0.36991872033424344,0.6942325705874482,0.32176648758497095,Dataset
336,0.31,0.30897269761830287,0.33440514469453375,0.2949640287769784,0.8728756858022213,0.6706463792456511,0.6095118713944464,0.6188500825192916,0.03247763503974602,FairBN
337,0.7833333333333333,0.7789668886009204,0.8059701492537313,0.7194244604316546,0.46768366118024884,0.6971765986125718,0.29424056626006845,0.8077969579374635,0.6913035930347564,LabelBN
338,0.81,0.8106930604584655,0.8190476190476189,0.8201438848920863,0.35260270306436503,0.7872878496388714,0.28173947947913414,0.8960256924929747,0.9900251868799124,NBSens
339,0.8066666666666666,0.8075874703963537,0.8152866242038217,0.8201438848920863,0.5729961193630404,0.7450076207111241,0.43399157167216407,0.8060127570364423,0.38889648610896005,NB
340,0.6266666666666667,0.5990884311184592,0.7370892018779341,0.22302158273381295,0.8186805834336947,0.8855555817484692,0.8006590854668432,0.8203755742896651,0.24361167038531079,FRFC05
341,1.0,1.0,1.0,1.0,0.576207680984879,0.6881248286138704,0.4422233395191397,0.7118961595075606,0.3907946856196776,Dataset
342,0.32666666666666666,0.3275985024068461,0.3266666666666666,0.310126582278481,0.9908244621620418,0.7249633613760131,0.6178643616660402,0.5101331789229879,0.00016881817888922575,FairBN
343,0.78,0.7840078445355678,0.7870967741935485,0.7088607594936709,0.4377087880272593,0.6074444389647468,0.20346676740488778,0.8466438020578148,0.763785306475645,LabelBN
344,0.7333333333333333,0.737564628275985,0.7435897435897436,0.6582278481012658,0.31807046456727983,0.5909619234099227,0.19637643210034572,0.9280210235624249,1.2670261010165658,NBSens
345,0.7466666666666667,0.7527188447138526,0.763975155279503,0.6392405063291139,0.58843704066634,0.5728340564334713,0.3529090306292111,0.8105652309473965,0.4001630622482998,NB
346,0.5133333333333333,0.5376181137457657,0.6588785046728972,0.08227848101265822,0.9020979020979021,0.9648297025217635,0.8914959244904751,0.8192508128813861,,FRFC05
347,1.0,1.0,1.0,1.0,0.6033138835686607,0.6830289615881946,0.4405218759959083,0.6983430582156697,0.3278529635205524,Dataset
