,Accuracy,Balanced Accuracy,F1 Score,Specificity,Parity Score Gender,Parity Score Race,Intersectional Parity Score,Model
90,0.5066666666666667,0.5105853051058531,0.5647058823529412,0.36363636363636365,0.7081476198965948,0.8013881716197979,0.5947656440088391,FairBN
91,0.8133333333333334,0.8171143924568582,0.8333333333333334,0.6753246753246753,0.46603672668924945,0.49315872543239414,0.18380311986855502,LabelBN
92,0.88,0.8811599359544565,0.8823529411764707,0.8376623376623377,0.5088251025138171,0.39362563556367225,0.0867243211396802,NBSens
93,0.8566666666666667,0.8582547589396905,0.8617363344051447,0.7987012987012987,0.5440363701194508,0.4077052839138363,0.11191250057183233,NB
94,1.0,1.0,1.0,1.0,0.5840613300053485,0.2945245733480626,0.17969199796883872,Dataset
95,0.49666666666666665,0.5074623530988873,0.5465465465465466,0.36024844720496896,0.9764182424916574,0.7142807085778129,0.6922923058425978,FairBN
96,0.8733333333333333,0.8785468519594262,0.8741721854304636,0.8074534161490683,0.482313681868743,0.4091972054903924,0.22224702408120567,LabelBN
97,0.9,0.8999508467759954,0.8928571428571428,0.9006211180124224,0.5308120133481646,0.34738133682507044,0.17855058231312448,NBSens
98,0.87,0.8690513427767104,0.8592057761732853,0.8819875776397516,0.5101223581757508,0.4951019667699905,0.2652650948866495,NB
99,1.0,1.0,1.0,1.0,0.6371523915461624,0.2396303248598075,0.16156237987088584,Dataset
100,0.5233333333333333,0.5181623931623932,0.5855072463768117,0.3888888888888889,0.9387372089905714,0.6957329969265797,0.5450593343411948,FairBN
101,0.89,0.8875534188034188,0.8996960486322189,0.8263888888888888,0.47508825237946284,0.27353637226132754,0.14336046899322774,LabelBN
102,0.8966666666666666,0.8963675213675213,0.9009584664536742,0.8888888888888888,0.5074400107243398,0.32928590840365624,0.1320256024096853,NBSens
103,0.8633333333333333,0.8635149572649572,0.8673139158576051,0.8680555555555556,0.47866303230707363,0.43718753625940865,0.197237845742831,NB
104,1.0,1.0,1.0,1.0,0.5538674650341837,0.25609121024408776,0.19716364820530818,Dataset
105,0.5,0.5055304285522368,0.5098039215686274,0.44171779141104295,0.9198609377785701,0.7302709702284518,0.6319073438724758,FairBN
